"GreenMountain" "ForrestHill" "BadHumbug" "CommunistCommune" "FairCity"
107070 67298 977345 1e+05 170626
83898 124424 941101 1e+05 15225
64980 79055 983522 1e+05 74547
113371 106915 1004678 1e+05 166749
103472 126525 998951 1e+05 59976
78058 96995 959872 1e+05 109373
87916 83198 934627 1e+05 159826
79894 86432 967464 1e+05 69890
100732 80914 972562 1e+05 121479
101664 102442 974573 1e+05 83776
94874 120724 954442 1e+05 145198
104728 89755 980393 1e+05 193075
98157 106475 986375 1e+05 31617
89997 95128 1016511 1e+05 148811
101337 109844 1013513 1e+05 109299
102414 68987 1045679 1e+05 153673
99960 83069 967922 1e+05 122460
131692 92826 956337 1e+05 28813
73875 108835 972151 1e+05 163776
139655 122182 1000220 1e+05 97941
78058 90633 961185 1e+05 130297
142161 97051 1006293 1e+05 158059
82875 97554 1006269 1e+05 81966
90345 97280 997279 1e+05 61334
115570 135317 942678 1e+05 150971
119210 80537 972781 1e+05 172388
79175 120515 991267 1e+05 104952
144505 100606 974034 1e+05 190947
108318 75161 995335 1e+05 163739
130392 106089 980421 1e+05 81277
78801 92065 1017409 1e+05 83850
93196 97402 972498 1e+05 81027
100325 106369 964850 1e+05 90323
105678 96526 992239 1e+05 20007
71848 89774 996696 1e+05 155157
105643 100475 961031 1e+05 63191
94257 80608 1023462 1e+05 109408
95404 104532 992562 1e+05 92913
111822 91846 969091 1e+05 199941
90466 124024 974027 1e+05 30503
122067 102437 977400 1e+05 2865
91905 127212 952982 1e+05 19037
103108 127097 965637 1e+05 164756
129950 68397 983534 1e+05 187405
130914 79348 979607 1e+05 71313
108724 103841 973594 1e+05 9224
142931 116494 992858 1e+05 32898
66770 141986 975463 1e+05 162737
124484 94682 993756 1e+05 19685
126812 130976 969352 1e+05 17488
115937 78959 999200 1e+05 20493
108255 100962 953149 1e+05 79124
97223 93695 995340 1e+05 66934
107023 97693 965609 1e+05 28727
145421 86486 961656 1e+05 132552
88834 76702 1020384 1e+05 126149
120746 108203 965591 1e+05 188778
98760 104793 957972 1e+05 141176
57686 78245 954808 1e+05 196165
102652 94804 1027561 1e+05 82990
131583 77487 962098 1e+05 14079
105945 108851 946278 1e+05 126900
119624 112640 986119 1e+05 31441
114441 134787 980150 1e+05 151170
94602 91682 986569 1e+05 172717
123826 96865 1009355 1e+05 162608
90365 72653 985572 1e+05 101973
140097 113839 966486 1e+05 171738
98156 61909 968919 1e+05 26784
106081 91777 993174 1e+05 36652
96988 77372 962810 1e+05 112407
73249 110857 992377 1e+05 157363
108462 102552 956644 1e+05 140349
91466 85874 980691 1e+05 100592
73326 103305 996148 1e+05 157518
83172 85588 964796 1e+05 123357
66206 99381 993865 1e+05 100899
121799 130476 989599 1e+05 149462
101752 96344 940889 1e+05 88502
71513 102480 976619 1e+05 31828
107491 89948 988475 1e+05 55142
92327 87170 952268 1e+05 90465
113443 95403 1010253 1e+05 2068
80817 125400 953903 1e+05 137400
101541 79670 937306 1e+05 19297
102599 92127 951032 1e+05 118192
105469 91511 1012672 1e+05 158824
117050 95334 973924 1e+05 170997
125015 126064 982343 1e+05 153931
94847 114728 982777 1e+05 176760
135121 87833 969943 1e+05 80724
85166 91745 973904 1e+05 174315
106506 123374 967983 1e+05 11755
103747 90157 958545 1e+05 40747
115048 96924 953636 1e+05 20878
93896 121390 996064 1e+05 54206
92996 136890 995809 1e+05 189301
140341 109163 992821 1e+05 196589
106299 103009 944285 1e+05 186772
118178 155379 1017576 1e+05 88305
72859 117388 991084 1e+05 136873
97142 85095 955886 1e+05 26967
123359 112198 977633 1e+05 6438
113736 86364 958650 1e+05 101398
100977 110563 987699 1e+05 108351
76865 111409 981232 1e+05 184208
128315 99871 979725 1e+05 23753
100817 95947 963329 1e+05 68028
99295 102312 992768 1e+05 164295
119302 123094 949035 1e+05 2368
113727 109280 993256 1e+05 190194
138922 99845 973042 1e+05 166470
72377 57056 988379 1e+05 17018
149611 104912 966033 1e+05 54589
97099 139701 1012465 1e+05 58854
104957 79748 940896 1e+05 147374
48738 98991 1021176 1e+05 135346
120625 55929 966808 1e+05 32954
140632 97914 997958 1e+05 174346
87223 120893 982446 1e+05 174976
94897 85825 979654 1e+05 196940
131666 139624 955004 1e+05 146903
108538 116889 979254 1e+05 78738
140173 97189 970863 1e+05 13462
123098 100833 1011462 1e+05 89576
68089 106274 981382 1e+05 199829
54107 85311 968392 1e+05 6061
71783 89480 963304 1e+05 153389
94167 103511 958594 1e+05 105606
102784 130427 986339 1e+05 42220
103745 108072 1005530 1e+05 195488
118605 89494 992584 1e+05 118523
92889 65783 1001512 1e+05 174630
82762 88476 959960 1e+05 15818
100043 93423 968493 1e+05 139363
92891 105361 976021 1e+05 114906
99875 113743 968662 1e+05 59723
82387 101036 982594 1e+05 30609
110125 73884 964661 1e+05 131984
82010 97544 920378 1e+05 106105
70275 94012 997680 1e+05 157154
82618 101722 968529 1e+05 140247
123905 66793 975091 1e+05 63380
107338 131569 923054 1e+05 24802
103912 88178 968519 1e+05 152199
113180 106644 948315 1e+05 59439
77806 74820 1011802 1e+05 134850
116217 126916 997557 1e+05 108046
114484 80253 983241 1e+05 185414
127252 71386 997327 1e+05 123631
103685 93007 976003 1e+05 60336
71106 89737 972444 1e+05 115264
107358 102528 993073 1e+05 58455
114460 88623 991290 1e+05 23841
106118 121106 961572 1e+05 191809
97824 126343 998916 1e+05 174490
100800 114507 993586 1e+05 78085
97305 111210 981628 1e+05 191275
82752 126575 962604 1e+05 178615
96232 71955 1008636 1e+05 25772
104101 74797 974207 1e+05 91266
100276 95742 954086 1e+05 124981
86742 97533 995700 1e+05 68531
78331 89495 983399 1e+05 58439
123826 90576 1005174 1e+05 47109
69956 85324 981088 1e+05 102766
132910 127924 953544 1e+05 79329
67557 98931 984547 1e+05 49765
89996 122289 972824 1e+05 55116
78147 75610 999536 1e+05 121592
74074 93511 964810 1e+05 149121
79869 106947 1001140 1e+05 129188
67861 121005 989052 1e+05 81342
105541 100345 996509 1e+05 83031
85565 109200 988500 1e+05 169617
123252 56971 978289 1e+05 33974
91180 72340 953850 1e+05 43149
57958 59861 1001348 1e+05 171532
141931 97078 981590 1e+05 122718
75264 96860 961160 1e+05 19725
88001 76110 978067 1e+05 101097
111931 92887 954410 1e+05 91765
81349 57573 1023146 1e+05 123614
74642 78000 989011 1e+05 84549
93031 91940 976271 1e+05 92457
85479 105943 985580 1e+05 76445
125877 61352 999886 1e+05 51428
102895 99957 973641 1e+05 147287
95060 73074 1003173 1e+05 163782
94436 117040 980203 1e+05 98110
97706 78075 982485 1e+05 42940
76989 113643 974721 1e+05 42219
74999 117891 962706 1e+05 176714
67173 68303 999549 1e+05 148038
101700 41145 931204 1e+05 135972
101694 94563 1014864 1e+05 69526
90429 103245 976632 1e+05 123159
80326 75474 969079 1e+05 133663
110471 115250 1004503 1e+05 47017
128762 122345 1015358 1e+05 118415
104008 133299 1018708 1e+05 76810
131925 93254 995141 1e+05 42340
90126 71443 984549 1e+05 188642
114410 106942 1017694 1e+05 12159
91364 134435 991340 1e+05 175663
85015 56181 998280 1e+05 135764
104585 101859 986413 1e+05 15607
112763 106858 986060 1e+05 165319
117565 110903 951933 1e+05 106503
106536 110289 976376 1e+05 176537
119993 119512 976364 1e+05 135336
83168 101593 966885 1e+05 54167
113465 110787 958126 1e+05 151571
101810 121517 979714 1e+05 135239
98922 80921 978523 1e+05 102607
98806 95232 959882 1e+05 177693
112257 116869 1000627 1e+05 59807
92710 115154 938387 1e+05 175564
84838 105681 991879 1e+05 179646
75000 61317 1015450 1e+05 158712
114253 108012 943801 1e+05 120550
98287 119206 972646 1e+05 121771
97768 121671 959670 1e+05 46902
93564 127193 975370 1e+05 113221
100216 68305 995289 1e+05 122004
125243 98602 949633 1e+05 163829
146046 125506 973014 1e+05 194028
101690 101140 980098 1e+05 111264
104129 117510 979564 1e+05 60459
101366 93965 1016073 1e+05 141391
71288 117260 915593 1e+05 62549
81087 100033 956191 1e+05 70183
102506 52451 983417 1e+05 104300
124733 63436 951359 1e+05 41695
91261 87860 936718 1e+05 92134
116602 72334 983558 1e+05 120993
105595 58975 1004840 1e+05 72103
87093 97518 973703 1e+05 26174
99782 70280 965944 1e+05 57215
106438 82056 972871 1e+05 14301
64640 102378 992267 1e+05 155638
112919 70795 969849 1e+05 176990
109832 110452 973767 1e+05 24092
98428 94069 991936 1e+05 60429
125992 80740 1007267 1e+05 16879
141082 119805 977836 1e+05 58678
85677 98066 964598 1e+05 141223
91785 94453 1027121 1e+05 118820
106658 73685 1007419 1e+05 122456
147115 143864 984887 1e+05 100534
82338 119793 971793 1e+05 48910
110133 148205 1018549 1e+05 45324
73007 70579 992380 1e+05 42255
89935 83220 988431 1e+05 184387
107803 89519 957402 1e+05 183753
112995 105883 979325 1e+05 60023
104367 96973 970993 1e+05 170437
120500 104797 995152 1e+05 82736
115466 93395 980544 1e+05 10548
83751 43585 974304 1e+05 77539
70034 92458 976930 1e+05 96181
88482 102876 995535 1e+05 18406
93919 82421 937061 1e+05 139477
98431 117153 929466 1e+05 78037
84974 90188 966161 1e+05 94902
71259 101657 973267 1e+05 174810
90264 91584 985197 1e+05 148901
96478 86319 965961 1e+05 66
116812 80751 1012753 1e+05 29909
106533 93051 949413 1e+05 173785
92700 100394 956847 1e+05 35894
98380 80292 948069 1e+05 124279
95005 94973 977178 1e+05 141437
105443 93909 1007163 1e+05 25768
106097 92945 947916 1e+05 91017
119689 81383 1024375 1e+05 58387
63763 79201 1013445 1e+05 41445
144046 67346 950152 1e+05 55367
108017 83802 973102 1e+05 88205
96738 108217 959045 1e+05 160758
103841 119787 1000714 1e+05 74816
109739 123644 1021806 1e+05 170263
79088 117570 969063 1e+05 152501
134226 86520 967707 1e+05 194483
133208 106220 987581 1e+05 38977
119792 98253 992871 1e+05 24512
115841 92940 960646 1e+05 165886
110813 122660 1002299 1e+05 45565
114611 109739 964974 1e+05 120911
103489 96057 998121 1e+05 9790
68396 90083 965541 1e+05 125310
129350 96998 979307 1e+05 53189
119649 99364 976768 1e+05 16415
60948 116914 998701 1e+05 113170
87253 90990 998423 1e+05 68673
100216 93600 933411 1e+05 148383
90382 107814 985410 1e+05 65799
76821 106687 990569 1e+05 3811
94682 111303 982067 1e+05 3936
107833 94488 966336 1e+05 100128
98223 68524 966768 1e+05 177208
112652 105227 965512 1e+05 31059
92304 107412 966454 1e+05 180931
103985 84119 959490 1e+05 100530
89409 84742 983053 1e+05 24867
84678 139921 977912 1e+05 12613
94942 115994 954601 1e+05 112266
97905 109551 968253 1e+05 44639
106254 97674 979105 1e+05 47599
72977 123703 993072 1e+05 110500
93635 93589 991053 1e+05 181550
75602 84872 961664 1e+05 107373
87696 111285 971727 1e+05 135168
77359 99539 979310 1e+05 149216
108063 141628 1003408 1e+05 188764
95962 117969 1000029 1e+05 54663
128238 95573 963790 1e+05 81711
118918 115457 998067 1e+05 46269
92004 64351 957835 1e+05 72456
102712 103409 979148 1e+05 28892
132439 98256 991423 1e+05 174990
119895 138793 981531 1e+05 108984
101441 103547 957623 1e+05 76026
108539 121292 967041 1e+05 158862
107857 67244 1006134 1e+05 72379
96543 82073 969976 1e+05 46661
90827 97917 970999 1e+05 156464
107302 93598 974089 1e+05 125036
128957 92331 960314 1e+05 133594
103841 104480 1010393 1e+05 94811
95764 91944 949354 1e+05 14354
95193 132812 983383 1e+05 12370
88675 78341 974036 1e+05 13367
127183 112856 937801 1e+05 17561
64220 85030 974658 1e+05 39274
142440 64659 948747 1e+05 128571
101930 73450 980186 1e+05 169090
87543 82515 981806 1e+05 108970
91383 109571 1009854 1e+05 142874
67232 87121 977076 1e+05 36050
59749 111868 981234 1e+05 149790
86078 83666 969065 1e+05 10062
97022 80088 981166 1e+05 197055
108471 80657 1009090 1e+05 33274
44110 99239 982792 1e+05 15870
124847 105141 1026420 1e+05 23781
76411 101596 940233 1e+05 161548
100771 92131 988980 1e+05 144735
107028 94508 981219 1e+05 61342
88213 104895 972670 1e+05 64887
93582 122668 961220 1e+05 74496
82000 142027 974203 1e+05 155715
81921 99376 996280 1e+05 54495
98856 105470 1003406 1e+05 29569
57086 83204 967522 1e+05 143746
118043 80414 1030538 1e+05 111228
105573 83668 981118 1e+05 145535
128724 97682 957512 1e+05 25918
122357 107243 971562 1e+05 25021
105120 106304 985186 1e+05 36525
136959 133769 957363 1e+05 194547
90259 105681 971160 1e+05 170332
119585 111758 997773 1e+05 73501
82613 143613 1007120 1e+05 107181
65556 109763 1000227 1e+05 144806
115104 108286 1000936 1e+05 73323
89763 109220 967944 1e+05 57162
61048 123114 1016489 1e+05 127152
94661 90770 995321 1e+05 145180
123159 99695 972353 1e+05 10308
133840 101208 999679 1e+05 197418
81406 87648 999439 1e+05 110465
47780 90882 947578 1e+05 96990
98532 130682 984761 1e+05 126456
75739 93325 958552 1e+05 77463
100122 99058 1040085 1e+05 103730
106383 88879 985701 1e+05 28160
119072 94337 948189 1e+05 30954
101429 94405 960668 1e+05 141006
65298 81346 977570 1e+05 50198
61242 104239 1035087 1e+05 122504
115845 101830 1008130 1e+05 194599
60260 105579 988013 1e+05 14696
94654 113449 955872 1e+05 164944
104469 103011 1009622 1e+05 195310
101338 50746 1009183 1e+05 105376
75611 87784 965487 1e+05 15907
105053 78633 995015 1e+05 6470
134677 122056 998816 1e+05 97813
125987 98416 952153 1e+05 180389
109839 106253 975480 1e+05 47263
139406 124735 1006755 1e+05 12222
85507 113322 993570 1e+05 161337
119536 92230 1004970 1e+05 6745
84180 110592 984207 1e+05 94397
95476 84768 995109 1e+05 38405
89830 93431 1011453 1e+05 100291
81430 92270 980284 1e+05 74214
99977 128312 1006417 1e+05 107794
87394 61136 983364 1e+05 44052
106360 108156 946959 1e+05 31846
97878 105105 980173 1e+05 107045
81723 98803 967975 1e+05 43844
121714 80139 958999 1e+05 163844
60923 140995 969759 1e+05 192294
96778 135555 947688 1e+05 12317
109121 114389 983364 1e+05 157090
61588 78063 960473 1e+05 36688
108112 93167 979062 1e+05 115043
93591 88277 969365 1e+05 59508
105981 74367 971731 1e+05 6452
104502 105154 988929 1e+05 162478
93704 58073 968441 1e+05 99402
103690 109964 969074 1e+05 99030
128916 106705 969931 1e+05 97528
72592 126104 992063 1e+05 178600
83119 80595 975257 1e+05 122246
98509 105499 985975 1e+05 46066
73744 101115 977621 1e+05 96391
119944 86658 1000933 1e+05 24858
93351 92307 1011103 1e+05 124054
107222 80380 968792 1e+05 111959
109699 114108 964029 1e+05 109772
123298 98665 979438 1e+05 192022
86968 121501 1000871 1e+05 119744
128646 84968 974114 1e+05 8647
72915 113672 1019485 1e+05 113439
88412 105137 950289 1e+05 28533
124452 129648 969964 1e+05 119689
104577 92042 984080 1e+05 183431
109641 91924 975375 1e+05 148789
75669 97813 975172 1e+05 10021
81009 107767 957925 1e+05 99913
90639 77705 952188 1e+05 53182
109115 91499 958781 1e+05 7503
87951 97790 976532 1e+05 16908
103624 95407 998661 1e+05 93372
98050 122680 994395 1e+05 64629
101480 94187 999155 1e+05 109432
72366 118169 979763 1e+05 6054
86508 131072 983847 1e+05 114527
67339 102938 970512 1e+05 123529
80837 119031 992978 1e+05 80780
86457 119565 980978 1e+05 191053
70203 107491 993699 1e+05 72207
97840 113435 993332 1e+05 20917
88192 94872 969308 1e+05 160626
99781 135763 970276 1e+05 148101
131402 92541 972851 1e+05 89795
128969 105894 997676 1e+05 121284
97438 66870 1015653 1e+05 187084
92822 114912 986250 1e+05 187615
76488 85074 978943 1e+05 4770
93896 108308 996387 1e+05 128241
67557 139219 965098 1e+05 112108
132956 94540 943186 1e+05 198851
132679 110999 984168 1e+05 73130
93535 96711 972840 1e+05 197305
90239 83822 963150 1e+05 174962
115353 87313 985612 1e+05 51406
134869 102660 966989 1e+05 110080
84663 80632 997145 1e+05 187329
121285 78384 967796 1e+05 113719
110437 97443 975204 1e+05 114255
106672 110334 977674 1e+05 132364
92619 134564 991880 1e+05 178756
103210 102958 1004096 1e+05 96280
89013 83616 964352 1e+05 84623
86827 79923 973773 1e+05 84042
131334 111862 980224 1e+05 44474
70226 93379 1003673 1e+05 34157
107835 79418 1034104 1e+05 174295
66375 124203 1008390 1e+05 82544
115504 120295 984908 1e+05 188197
117201 98693 989571 1e+05 58908
114137 129775 968908 1e+05 37402
114484 94676 964848 1e+05 96484
90832 99834 976294 1e+05 136661
80536 108311 970668 1e+05 40645
134244 108064 999493 1e+05 145019
110957 117654 937140 1e+05 118309
88626 130403 983047 1e+05 7523
127018 94840 1007388 1e+05 26606
128754 92346 959433 1e+05 37248
76807 131542 983849 1e+05 94995
82505 114605 953680 1e+05 56104
131722 146631 994057 1e+05 66779
98073 106599 967121 1e+05 65593
91654 76487 972450 1e+05 189739
89962 137845 963638 1e+05 145181
78435 55784 989349 1e+05 17362
101882 58577 980179 1e+05 99076
97929 122469 978541 1e+05 79367
97045 140455 1010239 1e+05 44773
81749 70583 984146 1e+05 45764
103378 80038 969767 1e+05 168444
108294 129921 977460 1e+05 43286
103878 104902 1000045 1e+05 173469
115421 123870 996514 1e+05 126597
104593 97730 982611 1e+05 7748
109400 94146 993134 1e+05 175277
136312 72750 970126 1e+05 39579
77038 83144 1004836 1e+05 3532
92469 85946 1004851 1e+05 16657
82173 112294 1000949 1e+05 30960
151373 105013 974058 1e+05 34911
90980 99631 1024927 1e+05 44111
75928 87287 937626 1e+05 131622
84548 79205 980654 1e+05 152548
76341 89774 957675 1e+05 37580
89598 106992 949012 1e+05 113655
99704 137169 953644 1e+05 185376
117047 99251 986502 1e+05 185091
103165 106441 975897 1e+05 23465
107393 111103 993389 1e+05 188591
73443 112081 1001713 1e+05 35384
86487 95071 968441 1e+05 168790
81299 130837 995406 1e+05 37875
89649 120634 979699 1e+05 119437
94755 106814 981205 1e+05 61390
99910 90117 994605 1e+05 27192
110596 111222 982878 1e+05 194113
118328 115752 1031583 1e+05 163319
90748 135393 997962 1e+05 14049
115258 73646 979751 1e+05 190753
120940 83563 993280 1e+05 142909
104232 125192 968018 1e+05 51049
125578 127768 976780 1e+05 72203
86993 90689 988601 1e+05 42626
88351 81509 977094 1e+05 16315
92008 92174 1013703 1e+05 138190
107656 96412 964697 1e+05 127394
113209 82143 964253 1e+05 18167
90310 105236 985490 1e+05 138498
98574 81693 963279 1e+05 46049
88387 106840 999198 1e+05 177663
72244 165251 992248 1e+05 72464
106889 98551 997831 1e+05 65425
128155 113855 961815 1e+05 23402
57031 63155 956217 1e+05 90398
133270 98775 998698 1e+05 76072
71609 95925 984049 1e+05 93908
116084 88430 979984 1e+05 195274
87417 126974 1001068 1e+05 98054
74308 96322 958488 1e+05 144541
98173 102498 948016 1e+05 64391
84159 72228 985770 1e+05 167400
128615 114246 963741 1e+05 13566
129310 85676 943513 1e+05 50739
102170 100355 954615 1e+05 82566
77365 95745 980878 1e+05 135847
80366 97829 950951 1e+05 97772
103743 74066 1005639 1e+05 21676
101827 87377 965794 1e+05 20837
105583 106246 945208 1e+05 9664
79835 62465 978647 1e+05 119775
135886 75386 950084 1e+05 99480
89788 97917 992019 1e+05 73710
99507 76429 979682 1e+05 43556
88834 123596 980503 1e+05 32650
110027 101714 998940 1e+05 35455
87475 114185 944120 1e+05 138589
106513 94500 970455 1e+05 28448
63793 100413 989135 1e+05 16443
87996 100766 996928 1e+05 127182
83288 87127 995328 1e+05 135555
113862 108691 994475 1e+05 18814
103232 96522 991430 1e+05 7625
85555 95852 983013 1e+05 122788
103275 74512 985264 1e+05 144172
99361 87222 962727 1e+05 43821
95015 89750 956212 1e+05 53700
119245 60018 1022865 1e+05 116694
128654 80420 1003175 1e+05 98319
85342 94403 964093 1e+05 63003
123306 86772 979420 1e+05 3395
122071 106834 950062 1e+05 63348
76283 109182 972227 1e+05 82298
83750 124113 1000599 1e+05 21826
124308 100614 985437 1e+05 154652
92093 61728 974819 1e+05 127795
88611 88032 957682 1e+05 68474
83060 110650 968140 1e+05 121746
99206 81715 932292 1e+05 80301
85928 126487 986096 1e+05 184561
99284 89780 956018 1e+05 114673
64742 150646 975865 1e+05 17189
118766 97511 1008715 1e+05 177963
91306 60952 989755 1e+05 20852
101071 126390 993420 1e+05 6581
100104 155534 1032347 1e+05 86167
86196 77106 998782 1e+05 45485
70130 104179 972951 1e+05 37390
93009 124327 956389 1e+05 117235
110430 102486 965512 1e+05 68366
81460 106857 995923 1e+05 101208
94525 90847 1042105 1e+05 146870
102845 105628 1001618 1e+05 45940
119624 99316 1011699 1e+05 25135
88579 102669 971484 1e+05 174376
112644 119812 1013907 1e+05 97997
100727 91592 967826 1e+05 88087
59498 87767 985181 1e+05 144544
111305 114047 1012849 1e+05 91779
79881 91801 988716 1e+05 178893
66847 101941 992831 1e+05 52199
119599 71210 968232 1e+05 140213
77847 69776 1021301 1e+05 182098
98196 124957 998738 1e+05 45167
96400 96302 974583 1e+05 65876
104464 110052 992158 1e+05 115998
78621 106385 972887 1e+05 174738
82931 88904 980094 1e+05 157639
89737 89375 946974 1e+05 17689
77289 127581 993949 1e+05 49032
88277 95779 999479 1e+05 10135
135576 91641 958380 1e+05 193655
81781 96922 961096 1e+05 98203
91625 103761 974857 1e+05 20452
125087 125191 995864 1e+05 68218
108324 112087 991838 1e+05 86535
119878 122124 974595 1e+05 109070
124680 98752 990639 1e+05 77480
84547 91416 999171 1e+05 186433
101446 66260 959731 1e+05 127648
99368 102428 1001736 1e+05 56060
89587 104375 980731 1e+05 6728
100387 78912 958013 1e+05 14777
86750 117763 969518 1e+05 58481
122517 129103 1006234 1e+05 46035
92261 129298 978765 1e+05 121493
93191 116143 956360 1e+05 23673
135873 92530 971540 1e+05 157434
145337 118285 968324 1e+05 151818
84467 118015 973342 1e+05 82970
117655 88602 996118 1e+05 89092
106168 130204 955886 1e+05 175841
70612 112442 984970 1e+05 136930
106542 84683 999804 1e+05 35304
109175 68808 994423 1e+05 47601
79609 81156 977887 1e+05 67235
72031 141413 964976 1e+05 87537
101782 92026 974214 1e+05 75768
94683 76994 960660 1e+05 197260
65616 95052 970108 1e+05 121319
81758 70065 964191 1e+05 62615
81895 114391 965711 1e+05 185902
94849 113562 965803 1e+05 53409
141476 113157 985520 1e+05 53637
90579 70664 994938 1e+05 11988
123310 118511 1011437 1e+05 103016
61183 126801 965189 1e+05 183885
78045 104757 991444 1e+05 33440
96814 105190 961179 1e+05 71261
102092 115854 995287 1e+05 99154
84496 67210 961352 1e+05 131887
90175 117960 963510 1e+05 27297
96336 110152 947452 1e+05 25421
131199 83155 981489 1e+05 129451
90556 133665 946825 1e+05 135604
96967 88737 962693 1e+05 47762
91217 116661 965567 1e+05 170964
117399 90958 1002441 1e+05 189131
89697 109057 981021 1e+05 148648
84247 120449 961073 1e+05 23298
105114 133493 960367 1e+05 135383
113066 63452 937306 1e+05 122896
99763 128995 930995 1e+05 116730
127155 90958 980195 1e+05 142385
102895 88558 1006926 1e+05 89325
123208 112200 1012631 1e+05 65834
121770 57644 979686 1e+05 158018
100759 60869 981400 1e+05 134413
96772 124111 965591 1e+05 142573
75134 112703 947802 1e+05 40478
93499 97479 984219 1e+05 35922
124040 96819 977786 1e+05 21155
125084 63242 990714 1e+05 190963
91257 87872 991650 1e+05 66566
112995 139314 960211 1e+05 47115
114326 116017 964526 1e+05 17806
91844 87792 981888 1e+05 189732
94078 104176 953211 1e+05 161891
121718 123861 973527 1e+05 29674
83837 117242 940658 1e+05 124761
67853 115929 981258 1e+05 33529
76336 110172 975923 1e+05 51870
125424 117881 1007787 1e+05 140720
104062 110506 984795 1e+05 77798
107983 143646 1000348 1e+05 160326
107673 95184 1001323 1e+05 63437
71282 132563 997189 1e+05 55288
116120 109475 979878 1e+05 197039
117724 92877 975690 1e+05 164785
86199 82630 986709 1e+05 20149
104348 104134 947393 1e+05 160375
136556 121022 1007414 1e+05 138974
113321 95299 995044 1e+05 171332
146882 97377 965709 1e+05 168226
69329 83272 1015237 1e+05 44871
62236 117887 976488 1e+05 189385
99386 69789 937685 1e+05 20748
82286 103278 981415 1e+05 19857
126067 94695 957202 1e+05 85219
62144 104520 964635 1e+05 40102
98291 75572 968331 1e+05 110795
80150 118778 971663 1e+05 29405
99345 73052 995243 1e+05 79660
81135 70256 994295 1e+05 30842
95199 123529 971470 1e+05 63342
104849 74249 979123 1e+05 91194
137051 97997 988715 1e+05 15725
102746 122515 969789 1e+05 42916
117681 98156 997078 1e+05 91931
105041 108238 995586 1e+05 162413
86666 141807 954956 1e+05 159497
105348 77757 961878 1e+05 166833
147276 82179 978412 1e+05 27169
67530 107004 967392 1e+05 147678
112985 124642 954054 1e+05 33014
133317 86763 984281 1e+05 174270
85955 102268 944442 1e+05 106882
123155 109916 972516 1e+05 81747
78246 66697 966640 1e+05 147166
133264 79843 973579 1e+05 57189
64947 84458 988193 1e+05 132258
116714 125869 970883 1e+05 182872
131956 95244 986786 1e+05 174290
136470 76652 986805 1e+05 46831
